Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
coconut puddinpie,"desserts	pies",1 pie,"2 tb soft butter	1 c  sifted confectioners sugar	3    eggs separated	1/2 ts vanilla	1/2 c  evaporated milk, undiluted	1/8 ts salt	2 c  freshly grated coconut	pn ground nutmeg	1    9 inch pie shell, baked",,,,
colombo curry paste martinique,spice mix,1 /2 cup,"1 1/2 tb turmeric	1 1/2 tb coriander seeds	1 1/2 tb black mustard seeds	1 1/2 tb black peppercorns	1 1/2 tb cumin seeds	3    garlic cloves peeled and grated	2    fresh habenero chilies or ed jalape?o peppers seeds and stems removed minced",,,,
confetti zucchini relish,"condiments	vegetables",16 half-pints.,"10 c  zucchini, chopped	4 c  onion, chopped	5 tb salt	1    sweet red pepper, chopped	1    green pepper, chopped	3 c  sugar	2 tb cornstarch	1 tb turmeric	2 ts dry mustard	2 ts celery seed	1/2 ts pepper	2 1/2 c  cider vinegar",,,,
cook up an oriental hot pot,"appetizers	beef	chinese",4 servings,"1 lb raw shrimp, peeled and deveined	2    chicken breasts, skinned, boned, and sliced very thin, across grain	1/2 lb beef sirloin sliced very thin, across grain	1/2    head chinese cabbage or 1 lettuce heart, coarsely cubed	1 c  cubed egg plant or 1 5-ounce can (2/3 cup) water chestnuts, rained and thinly sliced	1 1/2 c  halved fresh mushrooms	4 c  small spinach leaves (stems removed)	14 oz cans (5 1/4 cups) chicken broth	3    chicken bouillon cubes	1 tb monosodium glutamate	1/2 tb grated gingerroot or 1/2 teaspoon ground ginger",,,,
cookies n creme pie,"pies	desserts",1 pie,"1    7-oz. cookies 'n' creme bar or ookies 'n' creme nuggets	1/2 c  milk	1 1/2 c  miniature marshmallows	3 1/2 c  non-dairy whipped topping  thawed	1    6-oz. chocolate crumb crust	sweetened whipped cream; or on-dairy whipped topping",,,,
cooking lights bread stuffing,"cyberealm	side dishes	low-cal	low-fat",10 servings,"1    (16 oz) load french bread, cut into 1 inch cubes	3 tb reduced-calorie stick	.margarine	1 1/2 c  chopped celery	3/4 c  chopped onion	1/4 c  water	1/2 ts salt	1/2 ts rubbed sage	1/2 ts dried thyme	1/4 ts pepper	1    (10 1/2 oz) can low-salt	.chicken broth	vegetable cooking spray",,,,
cooking vanilla,mixes,1 servings,"1    bottle straight	bourbon whisky -- (750 ml)	4    vanilla beans",,,,
corn meal dough,mexican,8 servings,"4 c  corn meal	2 ts salt	8 c  water	2    eggs, well beaten	4 tb butter",,,,
corn relish la times,"relishes	vegetables",1 servings,"20    ears tender corn; -=or=-	2 1/2 qt -frozen whole kernel corn,  (thawed)	1 1/4 c  chopped onions	1 c  chopped green bell peppers	1 c  chopped red bell peppers	1 c  chopped celery	2 2/3 c  white vinegar	2 c  water	1 1/2 c  sugar	4 1/2 ts mustard seeds	1 tb salt	1 ts celery seeds	1/2 ts ground turmeric",,,,
bongo bongo soup,"soup/stew	fish/seafoo",4 servings,"1 c  fresh oysters -- shucked	1 tb cornstarch	1/2 c  spinach -- chopped	1/2 c  water	1 qt milk	1 ts salt	2 tb butter	1/2 ts pepper	1 ts a-1? steak sauce	1/2 c  whipping cream -- whipped",,,,
